,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
0,Ohio,Percent of adults aged 18 years and older who have obesity,29.4,Income,"$75,000 or greater"
1,Washington,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,40.3,Income,"$75,000 or greater"
2,Massachusetts,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.4,Age (years),35 - 44
3,New Mexico,Percent of adults aged 18 years and older who have obesity,27.7,Income,"$25,000 - $34,999"
4,Indiana,Percent of adults who report consuming vegetables less than one time daily,35.4,Race/Ethnicity,Hispanic
5,Kansas,Percent of adults who engage in no leisure-time physical activity,28.7,Age (years),45 - 54
6,Wisconsin,Percent of adults who engage in no leisure-time physical activity,24.0,Age (years),55 - 64
7,New Hampshire,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,35.3,Gender,Female
8,Ohio,Percent of adults who engage in no leisure-time physical activity,31.6,Race/Ethnicity,2 or more races
9,Rhode Island,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,19.7,Income,"Less than $15,000"
10,Maryland,Percent of adults who engage in no leisure-time physical activity,38.4,Income,"$15,000 - $24,999"
11,Nebraska,Percent of adults who engage in no leisure-time physical activity,31.5,Income,"$15,000 - $24,999"
12,West Virginia,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,American Indian/Alaska Native
13,Tennessee,Percent of adults aged 18 years and older who have obesity,44.1,Income,"Less than $15,000"
14,Vermont,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,37.9,Education,Less than high school
15,Tennessee,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),39.0,Age (years),65 or older
16,Arizona,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Non-Hispanic Black
17,Nebraska,Percent of adults aged 18 years and older who have obesity,44.3,Income,"Less than $15,000"
18,Wisconsin,Percent of adults aged 18 years and older who have an overweight classification,30.3,Age (years),35 - 44
19,Connecticut,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,29.3,Income,"$25,000 - $34,999"
20,Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.7,Gender,Male
